,company,job_title,salary,location,description,date
2,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
 By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
3,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
 As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
4,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
 Gathering and analysing data, including user research.Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
5,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
 Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
6,"
        Afiniti",Research Data Scientist,Nothing_found,London,"
 Familiarity with simulation and at least one programming language for data analysis such as R, Python, or Julia.The ideal candidate will have.",13 days ago
7,"
        Southend University Hospital - Nursing and General",Data Entry & Laboratory Sample Handling,"
                            £17,652 - £19,020 a year",Essex,"
 Data Entry & Laboratory Sample Handling with Pathology First.Southend University Hospital NHS Foundation Trust has a history of innovation and is recognised by…",25 days ago
8,"
        The National Lottery Heritage Fund",Head of Data and Insight,"
                            £45,000 - £53,500 a year",London,"
 You will represent National Lottery Heritage Fund externally as our specialist on data, insight and evaluation.Job Details - Heritage Lottery Fund.",2 days ago
9,"

        Barclays",Data Architecture AVP,Nothing_found,Northampton,"
 Understanding of Data Architecture concepts (data governance, data lineage, data modelling, data quality), process modelling and operating model design.",30+ days ago
10,"
        MediaVision",Graduate Data Scientist,"
                            £26,000 a year",Kingston upon Thames KT1,"
 Work experience in a data analysis role.Freshly graduated and looking for a challenge in data science?*.If you love statistics and want a challenging role…",4 days ago
11,"

        Direct Line Group",Data Engineer,Nothing_found,Bromley,"
 We want you to use your experience in engineering, optimising and debugging high performance data pipelines to contribute to the creation of data platforms.",30+ days ago
12,"
        Gemraj Technologies Ltd.",Power BI Developer,"
                            £450 - £500 a day",London,"
 Utilise and pull data from the data warehouse and decide on how Power BI measures are best applied.Strong understanding of databases and data models.",7 days ago
13,"

        Santander",Data Analyst - Internal Audit Data Analytics,Nothing_found,London,"
 We have an exciting opportunity for a Data Analyst - Internal Audit Data Analytics to join our team based in London.Minimum skills and experience required.",1 hour ago
14,"
        ONI",Data Analyst,Nothing_found,Oxford,"
 Providing data analysis solutions to solve intricate image-processing problems.We are looking for an experienced Data Analyst who will support the team that…",30+ days ago
15,"

        CVS UK Ltd",Data Analyst / Report Writer,Nothing_found,Earlswood,"
 Working with and creating detailed reports from large data sets - using data tools, reporting cubes and dashboards to deliver business critical insight.",10 days ago
16,"

        Natures Way Foods Ltd",Master Data Administrator,Nothing_found,Nothing_found,"
 Ensure data quality, compliance and consistency of master data across business systems.Master Data Administrator, ERP Administrator, Trainee ERP Specialist,…",3 days ago
17,"

        Everbridge",Intelligence Analyst,Nothing_found,Nothing_found,"
 During public safety threats such as active shooter situations, terrorist attacks or severe weather conditions, as well as critical business events such as IT…",Nothing_found
18,"
        Fusion 85 Ltd",Intelligence Analyst,"
                            £30,000 - £35,000 a year",Nothing_found,"
 Conversant with and able to consistently apply data protection legislation.Analyse, review and integrate intelligence data from a variety of sources.",Nothing_found
